,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
728,Alex Pietrangelo,32,VEG,D,80,13,31,44,7,42,7.5,9,3,1,0,18,10,3,227,5.7,1972,24:39,164,66,0,0,
729,Garrett Pilon,23,WSH,C,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,1,100.0,19,9:25,0,2,8,10,44.4
730,Shane Pinto,21,OTT,C,5,0,1,1,0,2,0.0,0,0,0,0,0,1,0,5,0.0,65,12:57,1,0,17,35,32.7
731,Neal Pionk,26,WPG,D,77,3,31,34,5,46,5.2,2,1,0,1,20,11,0,140,2.1,1628,21:08,91,185,0,0,
732,Rem Pitlick,24,TOT,C,66,15,22,37,-8,24,3.1,14,0,1,1,21,1,0,65,23.1,989,14:59,28,25,53,65,44.9
733,Tyler Pitlick,30,TOT,C,39,1,4,5,-11,6,-0.6,1,0,0,0,4,0,0,36,2.8,427,10:56,26,70,4,6,40.0
734,Vasily Podkolzin,20,VAN,RW,79,14,12,26,7,26,2.5,12,2,0,3,11,1,0,115,12.2,1011,12:48,33,84,8,11,42.1
735,Ryan Poehling,23,MTL,C,57,9,8,17,-21,6,0.6,7,2,0,1,8,0,0,91,9.9,695,12:12,28,40,227,262,46.4
736,Austin Poganski,25,WPG,RW,16,0,0,0,-3,7,-0.4,0,0,0,0,0,0,0,9,0.0,149,9:19,5,23,0,0,
737,Brayden Point,25,TBL,C,66,28,30,58,-5,33,5.8,18,10,0,4,18,12,0,176,15.9,1284,19:28,27,75,366,351,51.0
738,Tucker Poolman,28,VAN,D,40,1,2,3,2,12,1.2,1,0,0,0,2,0,0,47,2.1,680,17:00,73,33,0,0,
739,Andrew Poturalski,28,CAR,C,2,0,2,2,-1,0,0.1,0,0,0,0,0,2,0,4,0.0,20,10:09,1,0,3,4,42.9
740,Derrick Pouliot,28,TOT,D,11,0,4,4,6,4,1.0,0,0,0,0,4,0,0,8,0.0,171,15:30,14,10,0,0,
741,Owen Power,19,BUF,D,8,2,1,3,3,2,0.9,2,0,0,0,1,0,0,10,20.0,177,22:05,9,1,0,0,
742,Chase Priskie,25,FLA,D,4,0,0,0,2,2,0.1,0,0,0,0,0,0,0,4,0.0,56,14:00,3,3,0,0,
743,Aliaksei Protas,21,WSH,C,33,3,6,9,4,0,0.7,3,0,0,0,5,1,0,34,8.8,391,11:50,12,20,56,69,44.8
744,Ivan Provorov,25,PHI,D,79,9,22,31,-20,34,4.4,8,1,0,1,14,6,2,170,5.3,1966,24:53,172,74,0,0,
745,Ethan Prow,29,BUF,D,4,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,2,50.0,51,12:44,3,2,0,0,
746,Jesse Puljujarvi,23,EDM,RW,65,14,22,36,22,20,3.7,10,4,0,1,19,3,0,160,8.8,1055,16:14,15,81,0,0,
747,Ryan Pulock,27,NYI,D,56,5,16,21,0,2,4.1,3,2,0,0,11,4,1,122,4.1,1184,21:08,130,86,0,0,
748,Valtteri Puustinen,22,PIT,RW,1,0,1,1,2,0,0.2,0,0,0,0,1,0,0,1,0.0,10,10:14,0,1,0,0,
749,Mark Pysyk,30,BUF,D,68,3,9,12,-4,16,2.6,3,0,0,0,9,0,0,64,4.7,1212,17:49,85,41,0,0,
750,Jack Quinn,20,BUF,RW,2,1,1,2,0,0,0.3,0,1,0,0,1,0,0,6,16.7,30,14:53,1,0,0,0,
751,Darren Raddysh,25,TBL,D,4,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,43,10:40,6,4,0,0,
752,Taylor Raddysh,23,TOT,RW,74,11,11,22,1,10,1.7,7,3,1,1,10,1,0,104,10.6,913,12:20,21,103,6,10,37.5
753,Alexander Radulov,35,DAL,RW,71,4,18,22,-20,30,0.3,3,1,0,2,11,7,0,92,4.3,1001,14:06,48,43,10,12,45.5
754,Michael Raffl,33,DAL,LW,76,7,9,16,-19,16,-0.1,6,0,1,2,7,0,2,94,7.4,1105,14:32,34,141,14,12,53.8
755,Rickard Rakell,28,TOT,RW,70,20,21,41,0,12,4.0,15,5,0,2,16,5,0,184,10.9,1259,17:59,44,99,36,43,45.6
756,Sampo Ranta,21,COL,LW,10,0,0,0,-4,2,-0.4,0,0,0,0,0,0,0,9,0.0,109,10:54,6,9,2,2,50.0
757,Mikko Rantanen,25,COL,RW,75,36,56,92,35,56,10.5,20,16,0,2,37,19,0,254,14.2,1574,20:59,43,58,164,190,46.3
758,Victor Rask,28,TOT,C,47,9,12,21,4,2,2.0,9,0,0,1,11,1,0,58,15.5,573,12:12,5,15,89,87,50.6
759,Adam Raska,20,SJS,RW,5,0,0,0,1,7,0.0,0,0,0,0,0,0,0,2,0.0,40,8:03,0,15,0,0,
760,Michael Rasmussen,22,DET,C,80,15,12,27,-25,66,1.3,15,0,0,2,10,2,0,128,11.7,1161,14:31,65,142,410,409,50.1
761,Isaac Ratcliffe,22,PHI,LW,10,1,3,4,-1,10,0.3,1,0,0,0,1,2,0,14,7.1,107,10:45,8,16,0,1,0.0
762,Jack Rathbone,22,VAN,D,9,0,0,0,-5,2,-0.2,0,0,0,0,0,0,0,10,0.0,124,13:50,8,5,0,0,
763,Kyle Rau,29,MIN,C,5,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,44,8:49,0,6,1,1,50.0
