,Player,Age,Team,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PointShare,EV,PP,SH,GW,EV.1,PP.1,SH.1,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,Pos,GP,GoalsCreated,GoalsPerGame,AssistsPerGame,PointsPerGame,GoalsCreatedPerGame,PenaltyMinutesPerGame,ShotsPerGame,AdjustedGoals,AdjustedAssists,AdjustedPts,AdjustedGoalsCreated,TGF,PGF,TGA,PGA,xGF,xGA,ExpectedPlusMinus,OPS,DPS,PointShares
94,Travis Boyd,28,ARI,C,74,17,18,35,-10,34,2.7,15,2,0,2,16,2,0,88,19.3,1222,991,55,71,420,507,45.3,811,1072,43.1,-1.1,623,794,44.0,0.8,14.2,88.5,102.6,44.9,55.1,991,853,20,28,155,56.8,C,74,14,0.23,0.24,0.47,0.19,0.46,1.19,16,17,33,13,69,9,79,9,36.1,51.2,-15.1,1.6,1.0,2.7
95,Brian Boyle,37,PIT,C,66,11,10,21,6,27,2.1,10,0,1,1,10,0,0,87,12.6,712,647,39,95,165,200,45.2,508,536,48.7,-3.4,402,391,50.7,-1.7,8.6,92.9,101.5,30.6,69.4,647,530,20,10,122,71.3,C,66,9,0.17,0.15,0.32,0.13,0.41,1.32,11,9,20,8,27,0,38,17,22.5,21.8,0.6,1.1,1.0,2.1
96,Tyler Bozak,35,STL,C,50,3,9,12,-11,14,-0.1,2,0,1,1,7,1,1,46,6.5,609,730,21,20,175,212,45.2,413,494,45.5,-2.5,317,380,45.5,-2.0,5.1,89.5,94.6,46.4,53.6,730,628,20,13,73,63.0,C,50,4,0.06,0.18,0.24,0.08,0.28,0.92,3,9,12,4,17,2,35,9,17.9,21.1,-3.2,-0.3,0.2,-0.1
97,Erik Brannstrom,22,OTT,D,53,0,14,14,-17,30,1.4,0,0,0,0,8,6,0,86,0.0,1048,1186,59,39,0,0,,850,817,51.0,3.7,636,633,50.1,2.6,5.9,90.8,96.7,58.4,41.6,1186,1012,10,36,168,51.2,D,53,4,0.0,0.26,0.26,0.07,0.57,1.62,0,13,13,4,41,13,47,2,32.0,40.8,-8.8,0.1,1.4,1.4
98,Derick Brassard,34,TOT,C,46,8,11,19,4,16,1.9,7,1,0,1,10,1,0,62,12.9,594,775,6,82,169,161,51.2,450,497,47.5,-0.6,328,383,46.1,-2.2,10.5,93.3,103.8,50.3,49.7,775,681,10,10,91,68.1,C,46,7,0.17,0.24,0.41,0.16,0.35,1.35,8,10,18,7,28,3,21,0,20.0,19.4,0.6,1.0,0.9,1.9
99,Jesper Bratt,23,NJD,W,76,26,47,73,0,16,7.4,23,3,0,6,32,15,0,197,13.2,1325,1046,30,26,0,3,0.0,1207,1025,54.1,4.4,953,780,55.0,6.1,10.1,88.8,98.8,59.3,40.7,1046,880,29,46,324,60.8,W,76,27,0.34,0.62,0.96,0.35,0.21,2.59,25,45,70,26,94,26,69,1,59.5,43.1,16.4,5.9,1.5,7.4
100,Justin Braun,34,TOT,D,69,6,12,18,2,36,3.9,6,0,0,0,12,0,0,73,8.2,1349,1173,121,87,0,0,,951,1100,46.4,-2.2,699,807,46.4,-1.7,8.3,92.4,100.8,40.9,59.1,1173,1039,16,32,160,45.6,D,69,7,0.09,0.17,0.26,0.1,0.52,1.06,6,11,17,6,46,0,69,25,38.7,45.1,-6.5,0.7,3.2,3.9
101,Bobby Brink,20,PHI,RW,10,0,4,4,-5,0,0.0,0,0,0,0,3,1,0,18,0.0,154,927,2,15,3,1,75.0,102,109,48.3,0.3,76,83,47.8,-0.6,7.0,87.5,94.5,69.9,30.1,927,745,1,4,31,58.1,RW,10,1,0.0,0.4,0.4,0.11,0.0,1.8,0,4,4,1,5,1,9,0,4.6,6.0,-1.4,0.0,0.0,0.0
103,Philip Broberg,20,EDM,D,23,1,2,3,-8,8,0.0,1,0,0,0,2,0,0,29,3.4,310,808,10,10,0,0,,242,222,52.2,1.3,191,185,50.8,0.6,7.2,86.6,93.8,48.6,51.4,808,741,5,14,60,48.3,D,23,1,0.04,0.09,0.13,0.05,0.35,1.26,1,2,3,1,10,0,21,3,10.6,12.9,-2.3,0.0,0.0,0.0
104,T.J. Brodie,31,TOR,D,82,4,24,28,20,34,5.2,4,0,0,0,21,1,2,68,5.9,1748,1279,106,53,0,0,,1461,1339,52.2,-1.7,1119,1046,51.7,-1.9,9.6,91.3,100.9,52.4,47.6,1279,1131,30,62,158,43.0,D,82,9,0.05,0.29,0.34,0.1,0.41,0.83,4,23,27,8,88,2,84,18,77.1,60.1,17.0,0.9,4.3,5.2
105,Jonas Brodin,28,MIN,D,73,5,25,30,9,18,4.0,4,1,0,1,18,6,1,126,4.0,1711,1406,126,42,0,0,,1349,1231,52.3,1.6,1016,930,52.2,1.1,10.0,90.1,100.1,52.3,47.7,1406,1156,24,28,232,54.3,D,73,10,0.07,0.34,0.41,0.13,0.25,1.73,5,24,29,9,91,14,98,30,63.0,45.6,17.4,1.3,2.7,4.0
106,Jonny Brodzinski,28,NYR,C,22,1,1,2,1,10,0.0,1,0,0,0,1,0,0,34,2.9,239,651,8,8,49,48,50.5,182,188,49.2,1.4,143,138,50.9,3.0,5.1,95.8,100.9,48.9,51.1,651,597,5,4,52,65.4,C,22,1,0.05,0.05,0.09,0.04,0.45,1.55,1,1,2,1,5,0,7,3,7.3,8.3,-1.0,-0.4,0.3,0.0
107,Adam Brooks,25,TOT,C,25,2,1,3,2,2,0.2,2,0,0,2,1,0,0,14,14.3,224,537,6,11,23,34,40.4,164,189,46.5,-3.0,120,139,46.3,-3.3,5.7,96.7,102.4,47.9,52.1,537,515,3,3,21,66.7,C,25,1,0.08,0.04,0.12,0.05,0.08,0.56,2,1,3,1,5,0,3,0,7.9,6.8,1.1,-0.1,0.3,0.2
108,Connor Brown,28,OTT,RW,64,10,29,39,-15,10,2.4,9,0,1,0,17,9,3,121,8.3,1284,1203,37,14,48,85,36.1,926,904,50.6,4.5,687,674,50.5,4.1,8.2,87.7,95.9,46.7,53.3,1203,921,51,50,235,51.5,RW,64,13,0.16,0.45,0.61,0.21,0.16,1.89,10,28,38,13,58,11,82,20,42.6,42.8,-0.2,1.2,1.2,2.4
109,Dustin Brown,37,LAK,RW,64,9,19,28,-3,20,2.1,8,1,0,0,17,2,0,146,6.2,943,884,20,88,2,8,20.0,737,699,51.3,-3.7,583,537,52.1,-4.3,7.0,92.3,99.3,53.6,46.4,884,757,13,19,238,61.3,RW,64,10,0.14,0.3,0.44,0.16,0.31,2.28,9,18,27,10,45,14,34,0,32.3,35.4,-3.1,1.0,1.1,2.1
110,Josh Brown,28,TOT,D,52,0,6,6,-7,37,1.0,0,0,0,0,6,0,0,45,0.0,739,853,62,118,0,0,,553,641,46.3,-4.9,423,481,46.8,-4.4,6.8,91.8,98.6,47.9,52.1,853,743,9,22,87,51.7,D,52,2,0.0,0.12,0.12,0.03,0.71,0.87,0,6,6,2,22,0,41,12,24.8,29.5,-4.7,-0.3,1.3,1.0
111,Logan Brown,23,STL,C,39,4,7,11,-3,8,0.6,4,0,0,0,6,1,0,34,11.8,397,611,13,22,66,102,39.3,308,362,46.0,1.3,247,285,46.4,2.1,6.7,92.8,99.5,45.3,54.7,611,585,7,13,56,60.7,C,39,4,0.1,0.18,0.28,0.1,0.21,0.87,4,7,11,4,13,1,15,0,17.2,16.7,0.5,0.3,0.3,0.6
112,Patrick Brown,29,PHI,C,44,4,5,9,-16,11,-0.1,4,0,0,0,5,0,0,51,7.8,547,746,36,100,242,172,58.5,369,494,42.8,-4.9,279,352,44.2,-3.0,6.7,87.8,94.5,24.2,75.8,746,640,9,14,83,61.4,C,44,4,0.09,0.11,0.2,0.08,0.25,1.16,4,5,9,4,14,0,43,13,15.9,22.1,-6.3,-0.3,0.1,-0.1
113,Jacob Bryson,24,BUF,D,73,1,9,10,-9,12,2.0,0,1,0,0,3,6,0,43,2.3,1338,1100,73,55,0,0,,964,1025,48.5,-0.7,737,811,47.6,-0.6,9.1,90.0,99.0,47.6,52.4,1100,997,24,25,85,50.6,D,73,3,0.01,0.12,0.14,0.04,0.16,0.59,1,9,10,3,60,10,68,9,44.4,49.9,-5.5,-0.6,2.5,2.0
114,Pavel Buchnevich,26,STL,LW,73,30,46,76,29,34,8.7,20,8,2,3,33,11,2,199,15.1,1336,1098,15,57,13,26,33.3,1002,935,51.7,6.0,801,742,51.9,6.7,12.8,91.0,103.8,53.2,46.8,1098,866,46,41,304,65.5,LW,73,28,0.41,0.63,1.04,0.38,0.47,2.73,29,44,73,28,107,27,61,10,52.8,44.6,8.2,6.3,2.4,8.7
115,Connor Bunnaman,23,PHI,F,15,0,0,0,-7,4,-0.5,0,0,0,0,0,0,0,10,0.0,150,601,2,17,57,50,53.3,97,124,43.9,-5.5,78,93,45.6,-3.7,1.8,88.6,90.4,32.4,67.6,601,581,0,2,17,58.8,F,15,0,0.0,0.0,0.0,0.0,0.27,0.67,0,0,0,0,1,0,10,2,4.2,5.4,-1.3,-0.4,-0.1,-0.5
116,Michael Bunting,26,TOR,LW,79,23,40,63,27,80,6.9,21,2,0,2,37,3,0,175,13.1,1228,933,21,85,8,8,50.0,1250,950,56.8,4.9,939,735,56.1,4.5,13.4,88.3,101.7,58.4,41.6,933,853,36,23,296,59.1,LW,79,23,0.29,0.51,0.8,0.29,1.01,2.22,22,38,60,22,101,10,64,0,66.3,45.0,21.3,4.8,2.1,6.9
117,Andre Burakovsky,26,COL,LW,80,22,39,61,12,18,5.9,18,4,0,5,32,7,0,149,14.8,1301,976,34,49,8,12,40.0,1274,1026,55.4,3.7,934,791,54.1,3.3,11.0,89.4,100.5,57.1,42.9,976,851,28,39,313,47.6,LW,80,22,0.28,0.49,0.76,0.28,0.23,1.86,21,37,58,22,98,21,65,0,54.9,49.0,6.0,4.3,1.6,5.9
118,Brent Burns,36,SJS,D,82,10,44,54,-15,42,8.5,6,4,0,0,29,14,1,203,4.9,2144,1569,150,55,0,1,0.0,1474,1775,45.4,-0.5,1117,1269,46.8,0.0,10.6,89.7,100.3,43.8,56.2,1569,1245,68,97,446,45.5,D/RW,82,17,0.12,0.54,0.66,0.21,0.51,2.48,10,42,52,17,115,28,127,25,65.8,75.0,-9.2,3.5,5.0,8.5
119,Kyle Burroughs,26,VAN,D,42,1,4,5,-3,39,0.9,1,0,0,0,4,0,0,39,2.6,543,776,59,122,0,0,,439,470,48.3,-2.0,300,334,47.3,-3.2,6.8,93.1,99.9,44.4,55.6,776,741,7,7,83,47.0,D,42,2,0.02,0.1,0.12,0.04,0.93,0.93,1,4,5,2,15,0,23,5,15.3,20.8,-5.5,-0.1,1.0,0.9
120,Will Butcher,27,BUF,D,37,2,6,8,-10,0,0.9,2,0,0,0,4,2,0,35,5.7,610,989,32,11,0,0,,476,490,49.3,2.2,368,389,48.6,2.5,6.6,90.5,97.1,63.3,36.7,989,943,1,10,78,44.9,D,37,3,0.05,0.16,0.22,0.07,0.0,0.95,2,6,8,3,22,4,28,0,21.4,23.9,-2.5,0.2,0.7,0.9
121,Quinton Byfield,19,LAK,C,40,5,5,10,-7,20,0.5,5,0,0,1,4,1,0,39,12.8,486,729,11,20,124,149,45.4,378,380,49.9,-5.6,296,286,50.9,-4.7,6.6,91.2,97.8,60.9,39.1,729,692,15,14,77,51.9,C,40,4,0.13,0.13,0.25,0.1,0.5,0.98,5,5,10,4,15,2,20,0,16.0,19.1,-3.1,0.1,0.4,0.5
122,Bowen Byram,20,COL,D,30,5,12,17,7,12,2.9,4,1,0,2,12,0,0,49,10.2,564,1128,26,53,0,0,,537,469,53.4,3.0,389,359,52.0,2.5,10.8,90.9,101.6,56.0,44.0,1128,1053,14,11,102,48.0,D,30,6,0.17,0.4,0.57,0.2,0.4,1.63,5,11,16,6,32,1,25,1,24.3,20.8,3.6,1.4,1.4,2.9
123,Paul Byron,32,MTL,LW,27,4,3,7,-8,2,0.2,4,0,0,2,3,0,0,33,12.1,340,756,7,66,33,36,47.8,244,303,44.6,-3.0,173,236,42.3,-5.6,6.5,89.9,96.4,43.8,56.2,756,653,9,15,43,76.7,LW,27,3,0.15,0.11,0.26,0.11,0.07,1.22,4,3,7,3,9,0,25,8,10.8,15.3,-4.4,0.1,0.1,0.2
124,Drake Caggiula,27,BUF,LW,18,2,3,5,-4,4,0.2,2,0,0,1,2,1,0,23,8.7,263,878,7,17,1,3,25.0,170,191,47.1,-0.8,126,151,45.5,-2.6,10.0,89.2,99.2,45.1,54.9,878,773,6,2,37,62.2,LW,18,2,0.11,0.17,0.28,0.11,0.22,1.28,2,3,5,2,10,1,18,5,5.4,10.4,-5.1,0.0,0.2,0.2
125,Kyle Capobianco,24,ARI,D,45,2,7,9,-12,38,1.0,1,1,0,1,6,1,0,40,5.0,720,960,46,43,0,0,,547,681,44.5,0.4,421,538,43.9,0.8,9.9,89.9,99.7,50.5,49.5,960,916,16,31,85,47.1,D,45,3,0.04,0.16,0.2,0.07,0.84,0.89,2,7,9,3,31,2,42,1,24.9,36.2,-11.4,0.2,0.8,1.0
126,Michael Carcone,25,ARI,F,21,4,2,6,-8,14,0.3,4,0,0,0,2,0,0,36,11.1,259,739,7,31,0,7,0.0,219,243,47.4,4.7,168,190,46.9,5.0,5.6,88.8,94.5,46.5,53.5,739,722,8,9,64,56.3,F,21,3,0.19,0.1,0.29,0.13,0.67,1.71,4,2,6,3,7,0,15,0,10.5,12.2,-1.7,0.2,0.0,0.3
127,Brandon Carlo,25,BOS,D,79,6,9,15,2,31,3.9,5,0,1,0,8,1,0,125,4.8,1557,1182,104,143,0,0,,1213,1134,51.7,-4.1,960,869,52.5,-4.6,6.8,92.2,98.9,46.8,53.2,1182,1013,32,25,213,58.7,D,79,6,0.08,0.11,0.19,0.07,0.39,1.58,6,9,15,6,52,1,71,22,56.6,48.0,8.6,0.1,3.8,3.9
128,John Carlson,32,WSH,D,78,17,54,71,13,20,11.0,10,7,0,2,33,18,3,195,8.7,1857,1429,112,73,0,0,,1353,1299,51.0,0.8,1054,976,51.9,0.7,11.0,90.1,101.0,56.9,43.1,1429,1086,42,55,388,50.3,D,78,24,0.22,0.69,0.91,0.31,0.26,2.5,16,51,67,23,128,39,92,16,60.8,59.4,1.4,6.4,4.6,11.0
