,Player,Age,Team,Position,GamesPlayed,Goals,Assists,Points,PlusMinus,PenaltyMinutes,PointShare,EV,PP,SH,GW,EV.1,PP.1,SH.1,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%,Pos,GP,GoalsCreated,GoalsPerGame,AssistsPerGame,PointsPerGame,GoalsCreatedPerGame,PenaltyMinutesPerGame,ShotsPerGame,AdjustedGoals,AdjustedAssists,AdjustedPts,AdjustedGoalsCreated,TGF,PGF,TGA,PGA,xGF,xGA,ExpectedPlusMinus,OPS,DPS,PointShares
232,Brandon Duhaime,24,MIN,RW,80,6,11,17,-2,122,0.4,6,0,0,1,11,0,0,91,6.6,817,613,18,201,8,20,28.6,672,684,49.6,-2.2,490,524,48.3,-3.9,8.4,91.0,99.4,39.5,60.5,613,575,16,13,161,56.5,RW,80,6,0.08,0.14,0.21,0.08,1.53,1.14,6,10,16,6,30,0,36,4,26.5,26.8,-0.3,0.0,0.5,0.4
233,Mathew Dumba,27,MIN,D,57,7,20,27,9,47,3.9,6,1,0,1,16,4,0,116,6.0,1317,1386,84,114,0,0,,1008,1014,49.9,-2.6,748,762,49.5,-3.0,10.8,90.5,101.3,46.9,53.1,1386,1159,15,26,251,46.2,D,57,9,0.12,0.35,0.47,0.16,0.82,2.04,7,19,26,9,69,8,70,18,44.7,38.3,6.4,1.7,2.3,3.9
234,Brian Dumoulin,30,PIT,D,76,3,15,18,24,24,5.2,3,0,0,0,15,0,0,91,3.3,1658,1309,139,88,0,0,,1349,1432,48.5,-5.5,1052,1064,49.7,-5.0,10.0,92.9,102.9,49.7,50.3,1309,1163,34,46,185,49.2,D,76,6,0.04,0.2,0.24,0.07,0.32,1.2,3,14,17,5,82,0,74,16,65.9,66.2,-0.2,0.0,5.2,5.2
235,Vince Dunn,25,SEA,D,73,7,28,35,-21,63,4.1,5,2,0,0,19,9,0,121,5.8,1509,1241,82,76,0,0,,1223,1155,51.4,1.1,886,877,50.3,0.0,8.7,88.6,97.3,57.4,42.6,1241,1094,25,48,282,42.9,D,73,11,0.1,0.38,0.48,0.15,0.86,1.66,7,27,34,11,69,13,78,1,49.4,54.1,-4.7,2.2,2.0,4.1
236,Sean Durzi,23,LAK,D,64,3,24,27,-9,55,3.6,1,2,0,0,10,13,1,119,2.5,1254,1176,121,74,0,0,,945,895,51.4,-4.4,729,655,52.7,-3.9,8.3,87.9,96.2,53.1,46.9,1176,952,26,53,247,48.2,D,64,8,0.05,0.38,0.42,0.13,0.86,1.86,3,23,26,8,64,16,61,4,41.5,43.7,-2.3,1.4,2.2,3.6
237,Christian Dvorak,25,MTL,C,56,11,22,33,-19,24,2.0,10,1,0,1,18,4,0,87,12.6,973,1042,52,32,548,419,56.7,635,813,43.9,-2.5,461,612,43.0,-2.5,10.3,88.1,98.4,40.6,59.4,1042,795,16,32,144,60.4,C,56,12,0.2,0.39,0.59,0.21,0.43,1.55,11,21,32,12,52,15,65,9,28.4,35.6,-7.2,1.6,0.5,2.0
238,Ryan Dzingel,29,TOT,C,32,5,3,8,-5,35,0.4,5,0,0,1,3,0,0,32,15.6,439,823,9,20,65,88,42.5,303,403,42.9,-2.8,225,316,41.6,-4.1,8.4,92.6,101.0,44.3,55.7,823,762,13,8,58,55.2,C,32,4,0.16,0.09,0.25,0.11,1.09,1.0,5,3,8,4,13,0,21,3,10.8,19.5,-8.8,0.0,0.4,0.4
239,Cody Eakin,30,BUF,C,69,4,8,12,-15,22,-0.4,3,1,0,1,6,1,1,74,5.4,938,815,29,33,482,378,56.0,576,777,42.6,-6.6,440,595,42.5,-5.3,6.9,91.3,98.2,39.8,60.2,815,730,22,20,117,63.2,C,69,4,0.06,0.12,0.17,0.06,0.32,1.07,4,8,12,4,25,2,52,14,24.9,35.4,-10.5,-1.0,0.7,-0.4
240,Jordan Eberle,31,SEA,RW,79,21,23,44,-28,14,3.2,17,4,0,2,18,5,0,164,12.8,1418,1077,40,48,6,14,30.0,1105,1070,50.8,-0.1,839,821,50.5,0.3,8.9,87.2,96.1,60.7,39.3,1077,911,50,34,310,52.9,RW,79,17,0.27,0.29,0.56,0.22,0.18,2.08,20,22,42,17,70,18,80,0,50.2,45.8,4.4,2.3,0.9,3.2
241,Alexander Edler,35,LAK,D,41,3,16,19,18,34,4.3,3,0,0,1,15,0,1,54,5.6,757,1108,70,56,0,0,,735,577,56.0,4.5,572,409,58.3,5.9,8.6,92.5,101.1,54.0,46.0,1108,974,9,16,119,45.4,D,41,6,0.07,0.39,0.46,0.15,0.83,1.32,3,15,18,6,41,1,30,8,33.6,25.8,7.9,1.3,3.0,4.3
242,Joel Edmundson,28,MTL,D,24,3,3,6,-1,35,1.2,3,0,0,0,3,0,0,32,9.4,470,1175,45,61,0,0,,352,452,43.8,-3.3,260,325,44.4,-2.3,10.7,90.3,101.0,41.5,58.5,1175,1024,5,27,59,54.2,D,24,2,0.13,0.13,0.25,0.1,1.46,1.33,3,3,6,2,23,0,33,9,16.6,23.7,-7.1,0.3,0.9,1.2
243,Nikolaj Ehlers,25,WPG,LW,62,28,27,55,18,20,6.8,24,4,0,2,22,5,0,245,11.4,1120,1084,27,32,2,1,66.7,1044,877,54.3,6.5,805,675,54.4,6.4,11.0,91.5,102.4,60.6,39.4,1084,950,41,44,450,54.4,LW,62,22,0.45,0.44,0.89,0.36,0.32,3.95,27,26,53,22,79,15,46,0,49.9,46.0,3.9,4.9,1.9,6.8
244,Jack Eichel,25,VEG,C,34,14,11,25,3,10,2.8,11,3,0,2,6,5,0,133,10.5,659,1164,35,45,184,195,48.5,574,542,51.4,-3.1,420,390,51.9,-3.8,9.0,91.6,100.6,63.2,36.8,1164,984,25,29,193,68.9,C,34,11,0.41,0.32,0.74,0.32,0.29,3.91,14,10,24,10,42,13,26,0,25.4,21.6,3.9,2.0,0.8,2.8
245,Aaron Ekblad,25,FLA,D,61,15,42,57,38,26,9.5,12,3,0,2,22,17,3,180,8.3,1520,1495,69,62,0,0,,1235,866,58.8,3.4,922,637,59.1,4.4,12.0,90.3,102.3,59.6,40.4,1495,1114,43,73,317,56.8,D,61,19,0.25,0.69,0.93,0.32,0.43,2.95,15,40,55,19,125,35,72,20,59.6,41.4,18.1,5.1,4.5,9.5
246,Mattias Ekholm,31,NSH,D,76,6,25,31,14,44,6.0,6,0,0,1,20,4,1,145,4.1,1784,1409,96,79,0,0,,1224,1298,48.5,-0.6,950,989,49.0,-0.6,11.8,91.1,102.8,44.6,55.4,1409,1120,29,60,311,46.6,D,76,10,0.08,0.33,0.41,0.13,0.58,1.91,6,24,30,10,86,7,98,33,54.4,57.7,-3.3,1.3,4.7,6.0
248,Oliver Ekman-Larsson,30,VAN,D,79,5,24,29,5,52,5.5,2,3,0,1,17,7,0,168,3.0,1763,1339,79,105,0,0,,1383,1428,49.2,-1.6,1060,1071,49.7,-0.7,8.0,93.1,101.1,44.1,55.9,1339,1111,26,42,352,47.7,D,79,9,0.06,0.3,0.37,0.12,0.66,2.13,5,23,28,9,79,17,84,26,62.5,64.8,-2.4,1.2,4.3,5.5
250,Lars Eller,32,WSH,C,72,13,18,31,-4,40,2.2,13,0,0,2,16,2,0,116,11.2,1161,967,36,95,510,521,49.5,900,887,50.4,0.2,672,670,50.1,-1.4,10.1,89.2,99.3,43.1,56.9,967,799,37,44,213,54.5,C,72,12,0.18,0.25,0.43,0.17,0.56,1.61,13,17,30,12,54,6,70,18,38.9,39.6,-0.7,1.1,1.1,2.2
253,Pierre Engvall,25,TOR,LW,78,15,20,35,13,30,3.3,12,1,2,3,17,2,1,154,9.7,1036,797,12,66,29,40,42.0,862,757,53.2,0.0,660,591,52.8,-0.2,7.2,94.0,101.2,35.1,64.9,797,705,32,41,270,57.0,LW,78,13,0.19,0.26,0.45,0.17,0.38,1.97,15,19,34,13,45,6,36,10,41.6,33.5,8.1,1.9,1.4,3.3
254,Tyler Ennis,32,OTT,C,57,8,16,24,-6,16,1.9,7,1,0,1,13,3,0,89,9.0,715,753,24,70,20,9,69.0,562,590,48.8,0.6,423,447,48.6,0.2,7.6,90.7,98.3,46.6,53.4,753,654,19,23,157,56.7,C,57,9,0.14,0.28,0.42,0.15,0.28,1.56,8,15,23,8,31,8,29,0,23.0,25.1,-2.2,1.1,0.8,1.9
255,Mackenzie Entwistle,22,CHI,RW,55,5,7,12,-16,23,0.2,4,0,1,0,7,0,0,34,14.7,563,615,22,129,18,27,40.0,352,538,39.6,-7.7,244,382,39.0,-8.8,8.6,88.7,97.4,26.1,73.9,615,571,9,10,54,63.0,RW,55,5,0.09,0.13,0.22,0.08,0.42,0.62,5,7,12,5,16,0,36,4,15.2,21.8,-6.7,0.0,0.2,0.2
256,Loui Eriksson,36,ARI,LW,73,3,16,19,-18,6,-0.1,2,0,1,0,15,1,0,81,3.7,943,775,23,17,20,16,55.6,664,827,44.5,0.3,494,641,43.5,-0.1,7.8,89.7,97.5,38.8,61.2,775,686,22,26,122,66.4,LW,73,6,0.04,0.22,0.26,0.08,0.08,1.11,3,15,18,6,31,2,61,14,28.5,41.2,-12.8,-0.5,0.4,-0.1
257,Joel Eriksson Ek,25,MIN,C,77,26,23,49,16,28,4.8,14,12,0,3,18,5,0,223,11.7,1431,1115,44,138,697,768,47.6,987,852,53.7,3.0,750,633,54.2,3.6,11.1,90.5,101.5,50.8,49.2,1115,806,30,12,331,67.7,C,77,20,0.34,0.3,0.64,0.26,0.36,2.9,25,22,47,20,97,35,74,28,48.6,34.7,13.9,3.3,1.5,4.8
258,Adam Erne,26,DET,LW,79,6,13,19,-22,34,-0.1,6,0,0,1,13,0,0,108,5.6,1057,803,43,161,34,31,52.3,714,949,42.9,-4.4,532,715,42.7,-4.1,8.0,90.4,98.4,43.4,56.6,803,743,24,20,176,61.4,LW,79,7,0.08,0.16,0.24,0.09,0.43,1.37,6,12,18,7,35,3,55,1,34.7,47.6,-12.9,-0.5,0.5,-0.1
259,Jake Evans,25,MTL,C,72,13,16,29,-5,22,2.1,13,0,0,0,15,0,1,124,10.5,1123,936,37,88,461,465,49.8,844,909,48.1,1.2,638,710,47.3,1.0,8.8,90.7,99.5,39.0,61.0,936,800,39,33,195,63.6,C/RW,72,11,0.18,0.22,0.4,0.16,0.31,1.72,13,15,28,11,45,0,76,26,41.6,45.7,-4.1,0.9,1.2,2.1
261,Robby Fabbri,26,DET,C,56,17,13,30,-23,35,2.2,11,6,0,1,11,2,0,123,13.8,970,1040,19,86,54,55,49.5,685,770,47.1,0.8,516,611,45.8,-1.1,8.6,88.1,96.7,52.9,47.1,1040,872,13,21,211,58.3,C,56,13,0.3,0.23,0.54,0.23,0.63,2.2,16,12,28,12,51,18,57,1,33.5,37.4,-3.9,1.9,0.3,2.2
262,Dante Fabbro,23,NSH,D,66,3,21,24,13,24,4.5,3,0,0,0,21,0,0,88,3.4,1257,1143,105,69,0,0,,1117,1091,50.6,1.2,850,806,51.3,1.2,10.6,91.2,101.8,60.0,40.0,1143,1075,22,35,189,46.6,D,66,7,0.05,0.32,0.36,0.11,0.36,1.33,3,20,23,7,65,0,64,12,49.3,48.1,1.2,1.0,3.5,4.5
264,Radek Faksa,28,DAL,C,77,5,14,19,-20,52,-0.2,3,1,1,1,13,0,1,89,5.6,1214,946,68,129,383,312,55.1,754,972,43.7,-7.4,566,708,44.4,-6.5,6.0,90.8,96.8,28.1,71.9,946,828,27,27,150,59.3,C,77,6,0.06,0.18,0.25,0.08,0.68,1.16,5,13,18,6,27,1,61,15,31.4,44.3,-12.9,-1.1,0.9,-0.2
265,Joel Farabee,21,PHI,LW,63,17,17,34,-11,50,2.9,15,1,1,1,15,2,0,119,14.3,1108,1055,38,73,41,102,28.7,771,871,47.0,0.4,572,666,46.2,-0.4,10.3,89.6,99.9,57.4,42.6,1055,825,25,22,208,57.2,LW,63,14,0.27,0.27,0.54,0.22,0.79,1.89,16,16,32,13,55,9,65,8,35.1,37.2,-2.1,1.9,1.0,2.9
266,Hudson Fasching,26,ARI,RW,11,0,0,0,-3,0,-0.3,0,0,0,0,0,0,0,3,0.0,109,593,6,16,1,0,100.0,76,102,42.7,-4.7,54,74,42.2,-4.1,0.0,94.7,94.7,43.1,56.9,593,578,2,0,17,17.6,RW,11,0,0.0,0.0,0.0,0.0,0.0,0.27,0,0,0,0,0,0,4,1,2.6,4.2,-1.6,-0.3,0.0,-0.3
267,Jesper Fast,30,CAR,RW,82,14,20,34,24,4,3.5,13,1,0,1,18,1,1,97,14.4,1214,889,36,109,12,17,41.4,1092,802,57.7,2.4,839,619,57.5,3.0,10.2,91.7,101.9,50.0,50.0,889,776,17,26,171,56.7,RW,82,13,0.17,0.24,0.41,0.16,0.05,1.18,14,19,33,13,63,2,43,6,48.4,37.8,10.6,1.2,2.3,3.5
268,Justin Faulk,29,STL,D,76,16,31,47,41,43,9.8,15,1,0,6,25,6,0,167,9.6,1763,1392,101,149,0,0,,1344,1368,49.6,3.1,1029,1097,48.4,1.7,13.6,91.9,105.5,58.3,41.7,1392,1189,37,40,318,52.5,D,76,17,0.21,0.41,0.62,0.22,0.57,2.2,15,29,44,16,121,14,79,13,68.9,68.1,0.8,3.8,6.0,9.8
269,Martin Fehervary,22,WSH,D,79,8,9,17,15,26,4.7,7,0,1,2,8,0,1,96,8.3,1553,1179,117,251,0,0,,1279,1354,48.6,-3.0,988,1022,49.2,-3.5,10.2,91.6,101.7,55.0,45.0,1179,1070,14,36,181,53.0,D,79,7,0.1,0.11,0.22,0.09,0.33,1.22,8,9,17,7,76,1,78,18,60.2,62.6,-2.5,0.6,4.2,4.7
270,Mario Ferraro,23,SJS,D,63,2,12,14,-5,16,3.5,2,0,0,1,12,0,0,49,4.1,1449,1380,151,140,0,0,,1056,1302,44.8,-2.6,803,937,46.1,-2.6,9.5,91.7,101.2,42.9,57.1,1380,1190,31,35,108,45.4,D,63,4,0.03,0.19,0.22,0.07,0.25,0.78,2,11,13,4,54,1,76,18,44.0,56.7,-12.7,-0.2,3.8,3.5
271,Kevin Fiala,25,MIN,LW,82,33,52,85,23,52,9.2,27,5,1,7,40,12,0,262,12.6,1447,1059,21,52,4,11,26.7,1173,1034,53.1,2.6,891,799,52.7,1.9,12.6,89.8,102.4,59.4,40.6,1059,841,38,54,453,57.8,LW,82,32,0.4,0.63,1.04,0.39,0.63,3.2,32,50,82,31,110,23,74,10,61.5,43.3,18.2,7.4,1.8,9.2
272,Christian Fischer,24,ARI,RW,53,5,5,10,-15,14,-0.2,4,1,0,0,5,0,0,76,6.6,695,787,22,91,76,147,34.1,452,610,42.6,-2.5,331,448,42.5,-2.3,5.2,92.0,97.2,39.0,61.0,787,675,17,24,123,61.8,RW,53,4,0.09,0.09,0.19,0.08,0.26,1.43,5,5,10,4,14,2,32,5,19.9,28.5,-8.6,-0.5,0.3,-0.2
273,Casey Fitzgerald,24,BUF,D,36,0,6,6,-19,36,-0.1,0,0,0,0,6,0,0,41,0.0,608,1013,35,86,0,0,,455,493,48.0,-2.7,359,391,47.9,-1.3,7.4,86.6,94.1,55.7,44.3,1013,941,13,17,67,61.2,D,36,2,0.0,0.17,0.17,0.05,1.0,1.14,0,6,6,2,20,0,44,5,21.9,25.5,-3.6,-0.2,0.1,-0.1
276,Haydn Fleury,25,SEA,D,36,2,2,4,0,13,1.2,2,0,0,1,2,0,0,52,3.8,586,977,62,60,0,0,,443,498,47.1,-5.1,332,358,48.1,-3.7,7.8,92.6,100.4,44.5,55.5,977,908,6,14,105,49.5,D,36,2,0.06,0.06,0.11,0.04,0.36,1.44,2,2,4,2,19,0,26,7,19.3,18.7,0.6,-0.1,1.4,1.2
277,Warren Foegele,25,EDM,LW,82,12,14,26,-9,24,1.5,10,2,0,3,13,1,0,142,8.5,1034,757,15,127,13,15,46.4,959,831,53.6,1.6,710,626,53.1,2.1,7.4,89.8,97.2,52.4,47.6,757,714,44,29,245,58.0,LW,82,10,0.15,0.17,0.32,0.12,0.29,1.73,12,13,25,10,43,5,50,3,43.4,40.9,2.4,0.8,0.7,1.5
279,Marcus Foligno,30,MIN,LW,74,23,19,42,25,112,4.6,18,5,0,3,17,2,0,98,23.5,1214,984,42,238,12,8,60.0,895,786,53.2,2.3,678,579,53.9,3.3,11.8,92.3,104.1,48.1,51.9,984,769,28,27,163,60.7,LW,74,18,0.31,0.26,0.57,0.24,1.51,1.32,22,18,40,17,72,12,58,23,43.7,28.0,15.7,2.9,1.7,4.6
280,Nick Foligno,34,BOS,LW,64,2,11,13,-13,61,-0.2,2,0,0,0,10,1,0,99,2.0,798,748,31,164,22,17,56.4,635,562,53.0,-2.0,494,417,54.2,-2.4,3.7,91.4,95.2,45.9,54.1,748,656,22,14,149,66.4,LW,64,4,0.03,0.17,0.2,0.06,0.95,1.55,2,10,12,4,20,6,32,5,28.4,19.7,8.7,-0.8,0.5,-0.2
281,Callan Foote,23,TBL,D,56,2,7,9,6,29,2.1,2,0,0,0,7,0,0,49,4.1,735,788,57,83,0,0,,621,624,49.9,-1.1,491,469,51.1,0.0,10.4,91.2,101.5,51.4,48.6,788,773,4,15,112,43.8,D,56,3,0.04,0.13,0.16,0.05,0.52,0.88,2,7,9,3,36,0,31,1,31.5,29.9,1.6,0.2,1.9,2.1
283,Derek Forbort,29,BOS,D,76,4,10,14,2,48,3.4,4,0,0,1,9,0,1,64,6.3,1376,1087,100,133,0,0,,977,973,50.1,-5.5,764,736,50.9,-6.1,8.1,90.6,98.7,39.7,60.3,1087,897,15,32,132,48.5,D,76,5,0.05,0.13,0.18,0.06,0.63,0.84,4,9,13,5,51,0,78,29,45.7,40.4,5.3,0.0,3.4,3.4
284,Alex Formenton,22,OTT,LW,79,18,14,32,-13,59,2.7,13,0,5,1,13,0,1,162,11.1,1221,927,24,101,8,12,40.0,889,1005,46.9,-1.3,680,765,47.1,-1.2,7.0,90.1,97.1,53.4,46.6,927,762,44,25,256,63.3,LW,79,14,0.23,0.18,0.41,0.17,0.75,2.05,17,13,30,13,42,1,72,18,42.3,49.7,-7.4,1.5,1.2,2.7
285,Filip Forsberg,27,NSH,C,69,42,42,84,12,22,10.3,32,10,0,8,25,17,0,226,18.6,1249,1086,48,112,1,0,100.0,1047,913,53.4,5.3,803,687,53.9,5.7,13.3,88.7,102.0,61.2,38.8,1086,896,53,56,424,53.3,C,69,33,0.61,0.61,1.22,0.48,0.32,3.28,41,40,81,33,116,43,62,1,46.2,37.7,8.4,8.5,1.9,10.3
286,Gustav Forsling,25,FLA,D,71,10,27,37,41,18,7.3,10,0,0,1,27,0,0,145,6.9,1507,1273,86,45,0,0,,1373,1057,56.5,-0.5,1031,808,56.1,-0.9,11.4,91.4,102.8,46.7,53.3,1273,1112,51,53,296,49.0,D,71,13,0.14,0.38,0.52,0.18,0.25,2.04,10,26,36,13,94,1,76,24,72.4,53.2,19.1,2.7,4.7,7.3
287,Gabriel Fortier,21,TBL,LW,10,1,0,1,-2,4,0.0,1,0,0,0,0,0,0,14,7.1,93,557,5,24,1,0,100.0,77,63,55.0,8.6,58,46,55.8,9.6,2.4,91.4,93.8,50.0,50.0,557,557,1,3,21,66.7,LW,10,1,0.1,0.0,0.1,0.05,0.4,1.4,1,0,1,1,1,0,3,0,3.3,3.7,-0.4,-0.1,0.0,0.0
289,Cam Fowler,30,ANA,D,76,9,33,42,-9,14,6.6,3,6,0,1,21,12,0,124,7.3,1856,1465,116,37,0,0,,1347,1355,49.9,3.5,1002,1034,49.2,2.8,9.5,89.4,98.9,43.9,56.1,1465,1163,31,46,300,41.3,D,76,14,0.12,0.43,0.55,0.18,0.18,1.63,9,31,40,13,95,25,108,29,61.9,57.9,4.0,2.6,4.0,6.6
290,Adam Fox,23,NYR,D,78,11,63,74,18,26,11.8,10,0,1,2,29,33,1,158,7.0,1865,1434,128,30,0,0,,1308,1296,50.2,4.1,1002,958,51.1,4.7,10.4,90.9,101.3,57.0,43.0,1434,1125,78,58,275,57.5,D,78,23,0.14,0.81,0.95,0.29,0.33,2.03,11,60,71,22,127,47,77,15,59.0,56.2,2.9,5.9,6.0,11.8
291,Trent Frederic,23,BOS,C,60,8,10,18,10,57,1.8,8,0,0,1,10,0,0,100,8.0,699,699,22,119,35,54,39.3,554,556,49.9,-5.2,453,416,52.1,-4.2,7.5,94.6,102.1,42.0,58.0,699,662,23,12,157,63.7,C,60,7,0.13,0.17,0.3,0.12,0.95,1.67,8,9,17,7,27,1,21,5,30.2,22.3,7.9,0.5,1.3,1.8
292,Mark Friedman,26,PIT,D,26,1,4,5,1,23,0.9,1,0,0,1,4,0,0,27,3.7,345,797,25,27,0,0,,303,307,49.7,-1.3,248,230,51.9,0.8,7.4,92.6,100.0,50.0,50.0,797,739,4,4,49,55.1,D,26,2,0.04,0.15,0.19,0.06,0.88,1.04,1,4,5,2,14,0,17,4,17.5,13.2,4.3,0.1,0.8,0.9
295,Morgan Frost,22,PHI,C,55,5,11,16,-11,14,0.5,4,1,0,0,10,1,0,85,5.9,766,835,29,44,226,241,48.4,566,649,46.6,0.4,428,491,46.6,-0.3,6.3,92.2,98.5,54.4,45.6,835,718,27,22,152,55.9,C,55,6,0.09,0.2,0.29,0.1,0.25,1.55,5,10,15,5,28,8,31,0,23.8,26.8,-3.0,-0.1,0.6,0.5
297,Jonah Gadjovich,23,SJS,LW,43,1,2,3,-9,74,-0.4,1,0,0,0,2,0,0,36,2.8,377,525,14,104,1,2,33.3,284,376,43.0,-2.5,219,284,43.5,-3.1,5.6,91.0,96.6,56.4,43.6,525,524,7,10,69,52.2,LW,43,1,0.02,0.05,0.07,0.03,1.72,0.84,1,2,3,1,9,0,18,0,13.2,16.7,-3.5,-0.7,0.2,-0.4
298,Sam Gagner,32,DET,C,81,13,18,31,-4,32,2.4,12,0,1,0,17,1,0,132,9.8,1103,817,25,21,142,162,46.7,683,783,46.6,0.3,528,597,46.9,1.4,10.4,89.9,100.3,41.4,58.6,817,636,24,14,185,71.4,C,81,12,0.16,0.22,0.38,0.15,0.4,1.63,13,17,30,12,46,3,78,31,32.6,41.5,-9.0,1.2,1.2,2.4
299,Alex Galchenyuk,27,ARI,C,60,6,15,21,-11,32,0.9,6,0,0,0,14,1,0,89,6.7,789,789,24,67,214,195,52.3,579,811,41.7,-2.7,440,639,40.8,-3.1,10.0,90.9,101.0,46.9,53.1,789,739,18,28,145,61.4,C,60,7,0.1,0.25,0.35,0.12,0.53,1.48,6,14,20,7,34,2,44,1,26.7,43.7,-17.0,0.4,0.5,0.9
300,Brendan Gallagher,29,MTL,RW,56,7,17,24,-7,69,1.4,2,5,0,0,15,2,0,142,4.9,841,901,29,54,13,22,37.1,712,651,52.2,4.3,519,489,51.5,4.5,9.3,89.2,98.4,49.8,50.2,901,755,17,20,250,56.8,RW,56,8,0.13,0.3,0.43,0.15,1.23,2.54,7,16,23,8,45,9,43,0,32.5,34.0,-1.5,0.7,0.7,1.4
302,Dylan Gambrell,25,OTT,C,63,3,4,7,2,12,0.0,2,0,1,0,4,0,0,58,5.2,765,728,39,103,295,309,48.8,470,684,40.7,-8.7,359,491,42.2,-6.7,8.8,93.8,102.6,18.6,81.4,728,638,11,13,102,56.9,C,63,3,0.05,0.06,0.11,0.04,0.19,0.92,3,4,7,3,24,0,36,14,18.0,28.3,-10.4,-1.2,1.1,0.0
304,Conor Garland,25,VAN,RW,77,19,33,52,18,36,5.6,18,1,0,3,31,2,0,203,9.4,1263,984,22,52,5,5,50.0,1128,992,53.2,4.0,860,745,53.6,4.6,10.3,91.3,101.5,52.9,47.1,983,885,50,36,331,61.3,RW,77,19,0.25,0.43,0.68,0.25,0.47,2.64,18,31,49,18,72,6,49,0,54.1,46.7,7.3,3.4,2.1,5.6
305,Adam Gaudette,25,TOT,C,58,5,9,14,-9,17,0.6,3,2,0,1,9,0,0,94,5.3,657,679,10,72,56,71,44.1,489,549,47.1,-1.3,373,429,46.5,-1.5,6.3,92.6,98.9,51.6,48.4,679,609,21,17,162,58.0,C,58,5,0.09,0.16,0.24,0.09,0.29,1.62,5,9,14,5,21,4,26,0,21.3,28.3,-7.0,0.0,0.6,0.6
306,Frederick Gaudreau,28,MIN,C,76,14,30,44,12,8,3.4,13,1,0,4,26,2,2,132,10.6,1240,979,43,48,461,461,50.0,893,925,49.1,-3.3,674,704,48.9,-3.7,11.9,90.9,102.8,52.6,47.4,979,778,38,25,227,58.1,C,76,16,0.18,0.39,0.58,0.21,0.11,1.74,14,29,43,16,70,8,66,16,43.7,37.1,6.6,2.2,1.3,3.4
307,Johnny Gaudreau,28,CGY,LW,82,40,75,115,64,26,14.7,34,6,0,9,56,19,0,262,15.3,1523,1114,9,10,1,0,100.0,1401,1050,57.2,2.5,1078,820,56.8,2.6,15.3,91.3,106.5,53.9,46.1,1114,934,50,81,463,56.6,LW,82,42,0.49,0.91,1.4,0.52,0.32,3.2,39,72,111,41,158,40,54,0,71.2,44.2,27.0,10.8,3.9,14.7
308,Brendan Gaunce,27,CBJ,C,30,5,2,7,2,12,0.8,5,0,0,0,2,0,0,44,11.4,243,486,9,42,66,60,52.4,246,219,52.9,5.6,190,158,54.6,7.9,8.5,92.5,101.0,51.5,48.5,486,485,8,3,71,62.0,C,30,3,0.17,0.07,0.23,0.11,0.4,1.47,5,2,7,3,11,0,9,0,11.4,10.3,1.1,0.5,0.3,0.8
310,Julien Gauthier,24,NYR,RW,49,3,4,7,-9,8,-0.1,3,0,0,1,4,0,0,69,4.3,505,618,14,98,1,2,33.3,400,463,46.3,-0.8,317,333,48.8,0.8,5.6,90.3,95.9,58.1,41.9,618,589,15,14,110,62.7,RW,49,3,0.06,0.08,0.14,0.05,0.16,1.41,3,4,7,3,14,0,23,0,22.3,22.6,-0.3,-0.4,0.3,-0.1
311,Vladislav Gavrikov,26,CBJ,D,80,5,28,33,-3,68,4.6,5,0,0,1,27,0,1,108,4.6,1783,1337,138,124,0,0,,1323,1498,46.9,-1.5,1014,1169,46.4,-0.5,11.8,89.7,101.5,33.3,66.7,1337,1146,22,34,204,52.9,D,80,10,0.06,0.35,0.41,0.13,0.85,1.35,5,27,32,10,88,0,122,31,59.6,84.4,-24.8,1.5,3.1,4.6
313,Morgan Geekie,23,SEA,C,73,7,15,22,-16,18,0.9,7,0,0,0,11,4,0,97,7.2,920,756,23,55,351,318,52.5,748,687,52.1,1.9,528,537,49.6,-0.7,7.2,89.0,96.3,56.2,43.8,756,670,25,26,189,51.3,C,73,8,0.1,0.21,0.3,0.11,0.25,1.33,7,14,21,8,34,7,43,0,31.6,31.4,0.3,0.2,0.7,0.9
314,Mason Geertsen,26,NJD,D,25,0,0,0,-6,77,-0.3,0,0,0,0,0,0,0,12,0.0,174,417,7,58,0,0,,127,155,45.0,-4.3,94,119,44.1,-5.1,7.8,86.9,94.7,42.2,57.8,417,417,4,3,20,60.0,D,25,0,0.0,0.0,0.0,0.0,3.08,0.48,0,0,0,0,5,0,11,0,5.6,7.8,-2.2,-0.2,-0.1,-0.3
316,Ryan Getzlaf,36,ANA,C,56,3,34,37,-14,29,1.8,1,2,0,1,25,9,0,104,2.9,1062,1137,56,89,546,479,53.3,806,791,50.5,4.6,619,602,50.7,4.9,8.1,89.1,97.2,41.1,58.9,1137,940,35,67,192,54.2,C,56,11,0.05,0.61,0.66,0.19,0.52,1.86,3,32,35,10,53,17,56,6,35.7,37.6,-1.9,0.9,0.9,1.8
